P00,P01,P02,Activity
4.06523703,-0.684938564,0.284909787,1
3.779212394,-0.594903561,0.342021226,1
3.219788671,-0.231707355,0.314827802,1
3.702743799,-0.683997817,0.276913154,1
3.831723183,-0.731325863,0.28948467,1
3.650784284,-0.632207666,0.34566356,1
3.606496012,-0.615652086,0.46273472,1
3.502940758,-0.451330975,0.472761352,1
4.121050117,-0.967306955,0.318454078,1
3.3579732,-0.59952215,0.258693583,1
3.280905402,-0.439130158,0.233978207,1
3.405683864,-0.281950029,0.282499531,1
3.548440152,-0.522870763,0.353401214,1
3.562518862,-0.448544779,0.289183925,1
3.360922295,-0.46546027,0.361242322,1
2.872501442,-0.368362522,0.324038848,1
2.912438912,-0.089675334,0.351408343,1
3.017671641,-0.040616267,0.352417907,1
3.001457739,-0.317971552,0.362773108,1
3.401610487,-0.365147091,0.422938968,1
3.340637834,-0.11687282,0.345121876,1
3.168059705,-0.116706581,0.313974728,1
2.781389174,-0.140944422,0.171386702,3
3.23444906,-0.677125752,0.150275495,3
3.751777965,-0.825322931,0.044103084,3
3.779512449,-0.72502683,0.163182111,3
3.922022667,-0.623012854,0.165881505,3
4.515916055,-0.936750493,0.031356793,3
4.234723734,-0.997264316,0.110253008,3
3.336368826,-0.867360664,0.182223147,3
3.222395019,-1.031819273,0.371442517,3
4.773016839,-1.612002137,0.327869607,3
4.498813489,-1.065039742,0.12415494,3
4.896388746,-1.317013854,0.086456795,3
4.852305366,-1.116420088,0.093195119,3
4.293811401,-0.533788959,-0.018691981,3
4.165915852,-0.660515873,-0.013680033,3
4.166895661,-1.050505959,0.158100623,3
3.944097076,-0.540078386,-0.013742571,3
3.660374192,-0.347065101,0.20798641,3
3.712655971,-0.436657002,0.187549758,3
4.221905774,-0.925101635,0.162330326,3
4.59351626,-0.902999451,-0.003131217,3
3.807575808,-0.35482228,0.010020807,3
3.375958456,-0.088116645,-0.078596639,3
3.279498347,-0.465452041,0.242742783,3
3.256901224,-0.494491465,0.292101527,3
2.300335116,1.269993931,-0.279116545,2
2.06180707,1.308707934,-0.100134102,2
2.306494872,1.351299355,-0.318694414,2
2.747576842,1.326968979,-0.299541956,2
2.701208104,1.300840272,-0.284345067,2
2.410071731,1.229893411,-0.033014724,2
2.392958464,1.138874733,-0.047953228,2
2.360820071,1.040089091,0.004551122,2
2.479062823,1.195267006,-0.36158627,2
2.330811401,1.438181713,-0.245855864,2
2.652835148,1.287573192,-0.342441972,2
2.536546267,1.270674161,-0.316470707,2
1.971176055,1.382694997,-0.250569459,2
2.235693208,1.262764352,-0.103770917,2
2.049446595,1.525495432,-0.150025659,2
1.642553445,1.687691237,-0.148562705,2
1.694254963,1.60299163,-0.286609185,2
2.127911989,1.700487742,-0.464390593,2
2.529008898,1.423567177,-0.314274076,2
2.808868358,1.290980356,-0.362223013,2
2.554338783,1.532583045,-0.327024095,2
2.171834603,1.184301998,-0.142630369,2
2.213619344,1.220328687,-0.136245261,2
2.516276767,1.100478951,-0.165057366,2
2.06421642,1.274474482,-0.224377216,2
2.302997985,0.899126911,-0.063517823,2
-2.384703708,0.928021504,0.270928542,5
-2.442958356,0.847234659,0.663733057,5
-2.60299041,0.338250907,0.937133342,5
-2.322522594,0.252167221,0.841916895,5
-2.22925758,0.714396201,0.442225366,5
-2.533165691,0.301773551,0.817915078,5
-2.788445739,-0.305209173,1.075824975,5
-2.8979202,-0.259743161,0.893082083,5
-2.697256504,-0.685072755,1.295493171,5
-2.702554224,-0.750404243,1.154433566,5
-2.923798322,-0.664679073,1.152091555,5
-2.869025553,-0.355297716,0.941694489,5
-2.847502997,-0.132547736,0.853875575,5
-2.745888826,-0.160722421,0.984186885,5
-1.943345178,1.899431194,0.33928831,5
-2.661287319,0.789133986,0.878138209,5
-2.910340872,0.296460008,0.929793941,5
-2.924118302,-0.416895241,1.016578181,5
-2.963075759,-0.422341877,0.990351416,5
-3.027851682,-0.444823076,1.2821548,5
-3.013458428,-0.555900572,1.001531657,5
-3.037172721,-0.602463385,0.915650435,5
-3.047947552,-0.902530666,1.058326072,5
-2.898668389,-0.520733631,1.220361439,5
-2.894810606,-0.609840527,1.180820281,5
-2.953819144,-0.680755319,0.934414548,5
-2.075243941,1.402461474,-0.321019274,4
-2.620929109,0.744759789,-0.135661543,4
-2.862624849,0.046461301,0.3443658,4
-2.995102543,-0.959788638,0.484276358,4
-3.124098672,-1.239860645,0.575442036,4
-3.153496351,-1.323208205,0.631841967,4
-3.149751144,-1.460034036,0.646385291,4
-3.153380679,-1.454822102,0.677302511,4
-3.139115508,-1.34165263,0.485297597,4
-3.09676314,-1.377614013,0.512770741,4
-3.147228503,-1.245046081,0.556908605,4
-2.183863165,0.922056752,-1.766785712,6
-2.667640208,0.52893279,-1.500716635,6
-3.153278118,-0.692253071,-0.898932147,6
-3.271976555,-1.144425204,-0.783861988,6
-3.308379885,-1.353468264,-0.521492594,6
-3.301261941,-1.430256374,-0.705775745,6
-3.202765442,-1.122339666,-0.792595248,6
-3.265328013,-1.544499542,-0.527736612,6
-3.28255043,-1.484007876,-0.518378593,6
-3.25353945,-1.332381852,-0.620914553,6
-3.283815909,-1.411954945,-0.722834328,6
-3.260838997,-1.230704509,-0.895430772,6
-1.859566099,1.749816374,-0.411370003,4
-2.619228802,0.847172605,0.135333883,4
-2.747637956,0.330717417,0.294059488,4
-2.958660064,-0.161209418,0.68706386,4
-2.977542518,-0.587305072,0.631251472,4
-2.991383991,-0.857841335,0.691394364,4
-3.023271646,-0.759636913,0.685929966,4
-3.093769606,-0.437650931,0.443971853,4
-3.103727867,-0.719864023,0.789613984,4
-3.12581295,-0.546075456,0.707772229,4
-3.123036079,-0.596673342,0.799252226,4
-2.732332042,-0.039999855,0.626331242,4
1.15226361,0.827503602,-1.973545152,6
-0.143491773,0.244911851,-1.699819362,6
-2.129714044,0.77677978,-1.267203603,6
-2.025573015,1.365203998,-1.33706486,6
-2.19096013,0.93506949,-1.193580659,6
-2.799316668,-0.054767674,-0.875750727,6
-2.988853602,-0.457278389,-0.885573441,6
-3.074426836,-0.339994661,-0.864864953,6
-2.484818019,0.917467201,-1.11494642,6
-2.447358793,1.444602216,-1.474260002,6
-2.42812068,0.679503518,-1.17435274,6
2.734426465,0.093898724,0.081574773,1
3.151532033,-0.424304201,0.321584428,1
3.111533927,-0.476504189,0.383203981,1
3.257633701,-0.534288185,0.306072112,1
3.27711547,-0.534819932,0.391449909,1
3.189707451,-0.61548849,0.331786067,1
3.505804552,-0.784163375,0.398099676,1
3.228366165,-0.537508926,0.283375874,1
3.211486883,-0.191101825,0.433765149,1
3.811658872,-0.677553883,0.404384088,1
3.533458031,-0.551305736,0.387075186,1
3.038701091,-0.34925746,0.208705556,1
3.247545403,-0.684115678,0.436004303,1
3.513993569,-0.723197448,0.3889155,1
3.459543304,-0.754030099,0.346895982,1
3.592132633,-1.128355786,0.439812964,1
3.741766788,-0.92742546,0.487210044,1
3.480918845,-0.571045275,0.410112102,1
3.382557949,-0.665822239,0.372947883,1
4.027519125,-1.105859842,0.368632556,1
4.254478107,-1.323221348,0.302204185,1
4.099849698,-0.911880711,0.404324097,1
3.675047338,-0.441207352,0.191043845,1
3.908008431,-0.674535587,0.310506222,1
4.074991887,-0.901634933,0.346694995,1
3.875917897,-0.813506779,0.424248937,1
3.565228826,-0.812812383,0.480747483,1
3.410390754,-0.675240931,0.461769135,1
3.318945268,-0.286102747,0.341387764,1
3.763974648,-0.880679627,0.423133925,1
3.729648646,-0.850531168,0.336865183,1
3.179714871,-0.445947379,0.345287398,1
3.376813052,-0.566447207,0.396416378,1
3.205057913,-0.604465701,0.320174262,1
3.630221555,-0.403610976,0.452404802,1
3.772164683,-0.665403985,0.471545921,1
3.518384026,-0.576148399,0.485091251,1
3.2502357,-0.360627074,0.411975634,1
3.33084825,-0.61880704,0.184252712,1
3.634560197,-0.930648241,0.302166879,1
4.191099978,-1.151923442,0.300492562,1
4.38717642,-1.630891067,0.438930111,1
4.110501571,-1.446376481,0.355227135,1
3.795532982,-0.840600158,0.149114358,1
4.299259951,-1.454772273,0.486735422,1
4.328818445,-1.528393979,0.389787547,1
3.454337953,-0.741393936,0.382574385,1
3.39538178,-0.763494233,0.201972186,1
2.613135308,0.223238638,-0.045462745,3
3.278660335,-0.723254215,0.010661958,3
4.12203243,-1.076959869,0.246676807,3
5.020883613,-1.712680007,0.077485039,3
4.272247391,-0.96537041,0.114478715,3
3.372047765,-0.447713936,-0.014953891,3
3.669939189,-0.7213387,-0.072242084,3
2.213678149,1.239108349,-0.2810166,2
2.267744909,1.183913839,-0.293272537,2
2.734350645,1.361670799,-0.416532158,2
2.703596032,1.407738396,-0.325527972,2
2.554148954,1.428595342,-0.185224848,2
2.786857078,1.166302063,-0.270646022,2
2.734521216,0.935256727,-0.212237037,2
2.560859508,0.782039128,-0.15429022,2
2.435476175,0.941062807,-0.125643693,2
2.530467728,1.3530799,-0.493994463,2
2.337423849,1.194635682,-0.315792865,2
2.710132345,1.165433618,-0.281778168,2
3.146927696,1.018992847,-0.335870345,2
2.779446375,1.104054087,-0.207621921,2
2.676296413,0.936316965,-0.068976939,2
2.8108767,0.977088895,-0.184688009,2
2.703853556,0.969439594,-0.113309022,2
2.349652385,1.053847631,-0.213352618,2
2.235841678,1.525957086,-0.451164771,2
2.037442536,1.747613634,-0.441773388,2
2.812336641,1.302956705,-0.377628114,2
2.90485828,1.246622917,-0.394577471,2
2.47207937,1.228391262,-0.273868243,2
2.634790113,1.205634387,-0.146079969,2
2.726339925,1.100335278,-0.186264069,2
2.696863412,1.221407797,-0.200648221,2
2.465053727,1.179999054,-0.190643706,2
3.774972112,-0.107689129,0.085299288,3
4.001839138,-0.450297774,0.128156617,3
4.382226659,-1.042143764,0.033471871,3
4.191169746,-1.151664273,0.072254611,3
3.648399723,-0.776308495,-0.016106426,3
3.895339333,-0.951676665,0.102249004,3
4.298494704,-0.908069575,-0.004886071,3
3.938659933,-0.833211536,0.056664228,3
3.499377006,-0.90087132,0.152840196,3
4.31528579,-1.028010064,0.283617856,3
4.244017351,-0.948449449,0.219297251,3
3.675333085,-0.410802153,0.074865665,3
3.715766113,-0.480993341,-0.040945573,3
4.309430018,-1.23778202,0.09490854,3
4.281386046,-1.253072989,0.269005234,3
3.670166609,-0.728529998,0.099073044,3
3.758872947,-1.032030051,-0.046841621,3
-0.248715542,1.002611104,0.463194225,5
-1.797833855,1.142632307,0.387951491,5
-2.53301612,0.445239865,0.695784118,5
-2.259591689,0.865003177,0.761590927,5
-1.656925439,0.935986021,0.818958586,5
-1.275818011,1.076748385,0.474870231,5
-1.1264833,1.154987781,0.700856112,5
-1.233470738,1.230822661,0.697898441,5
-1.023866492,0.91136457,0.762535441,5
-0.783885552,0.998388037,0.620194514,5
-0.848116889,0.992839634,0.68282818,5
-1.177112592,1.596118816,0.277476936,5
-1.738600005,1.461321172,0.148848912,5
-1.475421326,1.435439266,0.323809839,5
-1.245013011,1.044693611,0.29560492,5
-1.354185421,0.746079196,0.444712168,5
-1.46951096,1.830164448,0.082898254,5
-2.124040234,1.313029189,0.567878199,5
-2.516604961,0.870986284,0.738026373,5
-2.720362547,0.083999548,0.646823852,5
-2.517913823,0.29106066,0.468674043,5
-2.196911259,0.792622732,0.685832655,5
-2.17752235,0.511428633,0.858596079,5
-2.483055383,0.275814445,0.778514942,5
-2.736611476,-0.061299109,0.904136678,5
-2.875676824,-0.449367208,1.068736058,5
-2.94446416,-0.723045561,0.968218634,5
-3.001730919,-0.708546294,1.163373563,5
-2.997021898,-0.857517547,1.175817415,5
-2.975235774,-0.77791053,1.197975336,5
-2.349402101,0.790327013,0.551198543,5
-1.251555556,1.638005931,0.142998034,4
-2.107313469,1.327418796,0.35026658,4
-2.424170802,0.557911164,0.697273803,4
-2.629101461,-0.019030635,0.857035385,4
-2.785791488,0.167251883,0.782328027,4
-2.49732764,0.558415264,0.67212183,4
-1.212389822,2.158004359,-0.239393558,4
-0.881380167,2.082742582,-0.545010503,4
-0.910983298,1.43683749,-0.609561852,4
-2.30329835,0.165124833,-0.380661319,4
-2.484477515,-0.955725393,-0.061503427,4
-2.582398785,-0.939839776,0.035372352,4
-1.232854872,1.601548066,0.074947698,4
-2.197117803,1.298503703,0.31297629,4
-2.509417212,0.668568355,0.630577675,4
-2.743992152,0.169600454,0.876378748,4
-2.797466645,-0.175589678,0.92452,4
-2.842815245,0.023716535,0.753498121,4
-2.960764055,-0.401967053,0.862405075,4
-2.728869329,0.215602258,0.588700878,4
-2.522789447,0.449246898,0.643234039,4
-2.615199591,0.149520521,0.873234681,4
-2.943546514,-0.749638475,1.00698354,4
-2.97280413,-1.255578156,1.132617563,4
-2.994774917,-1.17569137,1.00283494,4
-2.98218659,-0.760937311,0.987614621,4
-1.486918844,0.679668209,-1.822773309,6
-2.373759401,0.375593507,-1.479654697,6
-2.6161144,-0.031884656,-1.377991704,6
-2.99355238,-0.820721817,-1.096919231,6
-3.007904839,-0.917183101,-1.166891713,6
-2.879204247,-0.562702845,-1.146899384,6
-2.816167206,-0.3963165,-1.281514087,6
-2.613249609,-0.260648006,-1.200427986,6
-2.478624699,0.14022586,-1.38221228,6
-2.43940012,-0.419440816,-1.30362541,6
-2.510637265,-0.586970538,-1.449652574,6
-2.836142169,-0.660599763,-1.438686914,6
-2.664379128,-0.916901134,-1.026194097,6
-2.177872954,-0.273942605,-1.265947733,6
-2.142519132,0.081179278,-1.544521182,6
-2.756440618,-0.149519989,-1.262863475,6
-3.096968985,-0.88689503,-1.008119712,6
-3.238047772,-1.370440579,-0.73132695,6
-3.284943132,-1.318218243,-0.955698888,6
-3.348963255,-1.501993418,-1.017142639,6
-3.367155406,-1.563734194,-0.899422172,6
-3.319600167,-1.408914309,-0.883180021,6
-3.315160078,-1.580150235,-0.825973379,6
-3.179050702,-0.723773672,-1.247558904,6
-3.15127806,-0.584449465,-1.507049544,6
-3.13762313,-1.404795788,-1.044565898,6
-3.14272612,-1.52664319,-0.953780366,6
-3.24346925,-1.413229466,-0.98815567,6
-3.286426244,-1.647908979,-0.809784195,6
-3.270542557,-1.569530555,-0.948256447,6
1.390681724,0.471621245,0.552820599,1
1.530831654,0.240672656,0.276997716,1
1.941423456,0.231489691,0.273721142,1
2.331487578,0.058686812,0.142268494,1
2.323375361,0.165912634,0.101196196,1
2.344285375,0.175870441,0.13501939,1
2.61400994,-0.064095125,0.204639634,1
2.435717187,0.030035898,0.177000539,1
2.265482585,0.160834416,0.173164073,1
2.783568276,-0.299393603,0.314668812,1
2.757494842,-0.416464014,0.334769135,1
2.305368571,-0.107341381,0.348671819,1
2.050801006,0.015155131,0.324885664,1
2.363194147,-0.13096445,0.406094621,1
2.598721672,-0.265283283,0.325247379,1
2.424792444,-0.083984578,0.328458369,1
1.3305712,0.634114911,0.563821949,1
1.541205068,0.176717702,0.563191939,1
1.960758876,0.13770331,0.448143336,1
2.512807954,0.044985401,0.391060726,1
3.124121881,-0.441536544,0.316586911,1
2.950096433,-0.672103021,0.417933372,1
2.683318451,-0.446473442,0.43045924,1
2.399966862,-0.105199672,0.521211186,1
2.710607072,-0.177554009,0.418200896,1
3.217415839,-0.443128192,0.479093435,1
2.920954283,-0.568624856,0.467133337,1
2.594518107,-0.16850474,0.253883752,1
2.540031269,-0.186072889,0.395913014,1
2.670659511,-0.321189575,0.434817119,1
2.521876299,-0.459036005,0.322351032,1
2.449961146,-0.080871,0.136638807,3
2.881301223,-0.257226209,0.14608014,3
2.69814681,0.066675698,0.215913117,3
2.608822311,0.337293659,0.131956506,3
2.784485207,0.279433528,0.050517996,3
2.765513337,0.356640454,0.059007496,3
2.757365247,0.147151859,0.223501644,3
2.475809269,0.233877454,0.239064392,3
3.228545963,-0.011969665,0.057140133,3
3.780043714,-0.499467068,0.146610893,3
3.718096359,-0.83106485,0.341157481,3
3.166263011,-0.27310384,0.121060413,3
3.132518398,-0.015227424,0.080694113,3
3.355087153,-0.127046096,0.200422617,3
3.504829855,-0.104386388,0.040414834,3
4.087042838,-0.348573074,-0.092947594,3
5.260341738,-1.576952833,0.337698776,3
4.397642636,-0.977227354,0.301615465,3
4.155732619,-0.786372345,0.117170044,3
3.904987649,-0.458155751,0.033958556,3
4.34014346,-0.270633761,0.129045236,3
5.106900102,-1.148381404,0.208437555,3
5.749252284,-1.353284936,0.029435338,3
1.347045867,1.408540651,-0.210589059,2
1.445228181,1.277991412,-0.019511883,2
1.612361352,1.201705746,-0.206315187,2
1.625170358,1.213954517,0.099715856,2
1.884238171,1.150566352,0.043581789,2
1.654918758,1.095003333,0.082192462,2
1.580010634,1.189765704,0.080948018,2
1.695618849,1.018570912,-0.03369841,2
1.512755567,1.01572026,0.22247605,2
2.439214894,0.687888389,0.14351878,2
2.386685171,0.598467704,0.068958186,2
2.784090862,0.402957751,-0.054105762,2
2.657966422,0.704768625,-0.134866632,2
2.295526622,0.888643994,-0.244026561,2
2.434724886,0.726188631,-0.232038414,2
2.499964228,0.747182184,0.0569531,2
2.25384059,0.759728992,0.055824328,2
2.12415082,0.786106639,0.006267934,2
2.12463568,0.793356867,0.202370225,2
2.173914668,0.974998509,-0.203272786,2
2.540323778,0.985903175,-0.059447078,2
2.407051451,0.70466875,0.048262446,2
2.343088542,0.992112654,-0.042099195,2
2.555830841,0.683981971,0.12187411,2
2.513818885,0.586820259,0.080534815,2
2.512257642,0.860767244,0.018150729,2
2.87615042,0.44153308,-0.092869217,2
2.940211144,0.236828779,-0.090025702,2
2.767276498,0.779071307,-0.058821671,2
2.787967995,0.894467943,-0.160529104,2
2.532491136,0.520211483,0.095671802,2
2.561832638,0.504394437,0.052792948,2
2.848521871,0.53261524,0.143791751,2
3.135061766,0.573161799,0.000994635,2
-1.12873396,1.389403443,0.566256414,5
-1.840096642,0.813863142,0.703717296,5
-1.705777501,0.167636473,1.003356218,5
-1.847028036,0.233144617,0.923581248,5
-1.903849764,1.066392104,0.814889973,5
-1.966512015,1.371665393,0.698209686,5
-2.347693587,0.844706192,0.648018094,5
-2.842550474,-0.011462919,1.083121789,5
-2.757006845,0.214185098,1.085769692,5
-2.659297376,0.406950509,0.926481363,5
-2.754198361,0.219722161,0.737018667,5
-2.926326181,-0.538229367,0.842439688,5
-2.985030426,-0.601777504,0.914917054,5
-2.918514352,-0.161414343,0.743522595,5
-0.400918282,2.174294354,0.254812543,5
-0.869596067,1.804124196,0.134680743,5
-0.81444025,1.045495817,0.469401458,5
-1.038482575,0.940499734,0.395368642,5
-1.786956529,0.988807445,0.27599525,5
-1.54058866,1.403498375,0.176739067,5
-1.292078294,1.590219138,0.482773715,5
-1.608895237,1.242882651,0.693614761,5
-1.965546886,0.93382635,0.60051523,5
-1.709558851,1.090337704,0.626234835,5
-1.741228926,1.194655613,0.74174445,5
-2.050777563,0.896906873,0.801745238,5
-2.252233599,0.544661627,0.793324384,5
-2.699186687,-0.162463097,1.059147041,5
-2.37457673,0.466741532,0.763890709,5
-2.291694733,0.792152571,0.7707945,5
-0.767032345,1.580694085,-0.108664218,4
-1.926586079,1.171458319,-0.029243595,4
-2.390266955,0.82161345,-0.056430044,4
-2.850564924,0.01808126,0.415363196,4
-3.057545978,-0.535359742,0.624124895,4
-3.101169365,-1.154319584,0.677108737,4
-3.00680087,-0.920521681,0.614529879,4
-2.737646342,-0.831510109,0.536778118,4
-2.72953536,-0.871080485,0.485781727,4
-2.910821844,-1.175089211,0.668803785,4
-2.632719175,-0.82728908,0.633714107,4
-2.503145308,-0.804977395,0.554835309,4
1.358532895,1.736283106,-0.179176305,4
-0.462096371,1.255963819,0.356814843,4
-1.533661459,1.406989882,0.518766626,4
-1.663241111,1.431534238,0.717159435,4
-1.910554292,1.18116749,0.682203865,4
-2.587619926,0.69361442,0.781094384,4
-2.865457714,0.067204405,0.91827772,4
-2.846186062,-0.285214498,1.03847627,4
-2.66944058,0.622661427,0.798468067,4
-2.586602876,0.243724208,0.92198875,4
-2.58284086,-0.060271528,0.854329173,4
-1.64026065,1.35831119,0.417313491,4
-1.483837632,1.63476747,0.350617304,4
-1.378385082,1.795221785,0.284756877,4
-1.240272962,0.967143174,-1.673448972,6
-2.373638505,0.393842197,-1.50977576,6
-2.868238167,-0.111052114,-1.223791641,6
-3.024086932,-1.084775753,-0.965777387,6
-3.148451296,-1.319422927,-0.97994909,6
-3.265912871,-1.024673872,-1.080230344,6
-3.302472321,-1.207740438,-1.073959966,6
-3.304204599,-1.642261358,-0.709730321,6
-2.922785944,-0.403937396,-1.238455308,6
-2.422497496,0.004009746,-1.293805315,6
-2.341325107,-0.086163238,-1.221256815,6
-1.948576329,0.154487261,-1.236031707,6
-1.834680241,0.244545093,-1.315080828,6
-2.18681867,0.106061625,-1.352307263,6
-2.513638872,-0.132779958,-1.411248331,6
-2.40124835,-0.149239876,-1.300214241,6
-1.793881951,0.421053299,-1.550075934,6
-2.217464084,0.633365046,-1.51183462,6
-2.301928584,0.410149823,-1.416094679,6
-3.066912721,-0.881341822,-1.029489911,6
-3.185065262,-1.792237907,-0.858515371,6
-3.252792049,-1.639430113,-0.772186735,6
-3.296611047,-1.596036037,-0.728358379,6
-3.248693484,-1.556082809,-0.789961241,6
-3.168560899,-1.422038008,-0.778784741,6
-3.156601374,-1.361558497,-0.816702251,6
-3.158276638,-1.071069047,-0.946546972,6
-3.136109212,-1.008188962,-0.792752463,6
-3.223422186,-1.24311685,-0.838250324,6
-2.681043537,-0.128107457,-1.287434061,6
-2.548950363,0.353608283,-1.420915297,6
-2.866760198,-0.114551852,-1.187689187,6
2.679700844,-0.13677518,0.461609747,1
3.448201781,-0.574467798,0.33271658,1
3.33096298,-0.623934989,0.409005783,1
2.864692546,-0.313404645,0.336655699,1
2.851316172,-0.59308238,0.44899464,1
3.041308602,-0.802160036,0.33663461,1
2.962379582,-0.551916576,0.310305139,1
2.724862567,-0.433901805,0.301101157,1
2.844001134,-0.566556755,0.254960884,1
2.878347038,-0.570544581,0.382545379,1
2.890681551,-0.6019764,0.483319696,1
3.021683906,-0.31609202,0.378059417,1
2.756462839,-0.335163227,0.455371565,1
2.364256732,-0.158918452,0.378187811,1
2.77872361,-0.268445247,0.455577869,1
2.593518367,-0.361805458,0.321159283,1
2.800292996,-0.436290899,0.292481535,1
2.955101613,-0.69161057,0.405723585,1
2.862451209,-0.388177925,0.282982601,1
2.965618713,-0.151045357,0.390564331,1
2.860184128,-0.622130376,0.467920415,1
3.083836807,-0.617114024,0.488159106,1
3.063238207,-0.768250276,0.435346889,1
2.637950848,-0.362622581,0.346970689,1
2.549223239,-0.117911013,0.353997758,1
2.578903071,-0.191306035,0.463452777,1
2.528495012,-0.09992271,0.364644988,1
2.666241576,-0.018081125,0.086900529,3
2.34867442,-0.030942085,0.093229339,3
3.267788513,-0.455352905,0.396406945,3
3.254111138,-0.363514546,0.352365194,3
2.75027419,-0.137750496,0.227437476,3
3.073790063,-0.344315254,0.153269422,3
2.905496738,-0.275190746,0.266270422,3
2.666343585,-0.216090831,0.157563698,3
2.57870899,-0.160876803,0.21575829,3
2.506464164,0.190309349,0.265752685,3
2.160038158,0.206248138,0.230493492,3
2.764677393,0.085510974,0.03660526,3
2.984963048,0.108916982,0.051016053,3
2.978819193,-0.236077862,0.174222789,3
2.942248173,0.126332693,0.055341435,3
